longitude,latitude,total_field_intensity_nT
172.0,90.0,40427.5
173.0,90.0,40427.5
174.0,90.0,40427.5
175.0,90.0,40427.5
176.0,90.0,40427.5
177.0,90.0,40427.5
178.0,90.0,40427.5
179.0,90.0,40427.5
180.0,90.0,40427.5
-180.0,89.0,40490.14
-179.0,89.0,40489.31
-178.0,89.0,40488.46
-177.0,89.0,40487.59
-176.0,89.0,40486.71
-175.0,89.0,40485.81
-174.0,89.0,40484.9
-173.0,89.0,40483.97
-172.0,89.0,40483.03
-171.0,89.0,40482.07
-170.0,89.0,40481.1
-169.0,89.0,40480.11
-168.0,89.0,40479.11
-167.0,89.0,40478.1
-166.0,89.0,40477.07
-165.0,89.0,40476.04
-164.0,89.0,40474.98
-163.0,89.0,40473.92
-162.0,89.0,40472.84
-161.0,89.0,40471.76
-160.0,89.0,40470.66
-159.0,89.0,40469.55
-158.0,89.0,40468.43
-157.0,89.0,40467.29
-156.0,89.0,40466.15
-155.0,89.0,40465.0
-154.0,89.0,40463.84
-153.0,89.0,40462.67
-152.0,89.0,40461.49
-151.0,89.0,40460.3
-150.0,89.0,40459.1
-149.0,89.0,40457.9
-148.0,89.0,40456.68
-147.0,89.0,40455.46
-146.0,89.0,40454.23
-145.0,89.0,40453.0
-144.0,89.0,40451.76
-143.0,89.0,40450.51
-142.0,89.0,40449.25
-141.0,89.0,40447.99
-140.0,89.0,40446.73
-139.0,89.0,40445.46
-138.0,89.0,40444.18
-137.0,89.0,40442.9
-136.0,89.0,40441.61
-135.0,89.0,40440.33
-134.0,89.0,40439.03
-133.0,89.0,40437.74
-132.0,89.0,40436.44
-131.0,89.0,40435.14
-130.0,89.0,40433.83
-129.0,89.0,40432.53
-128.0,89.0,40431.22
-127.0,89.0,40429.91
-126.0,89.0,40428.6
-125.0,89.0,40427.28
-124.0,89.0,40425.97
-123.0,89.0,40424.66
-122.0,89.0,40423.34
-121.0,89.0,40422.03
-120.0,89.0,40420.72
-119.0,89.0,40419.41
-118.0,89.0,40418.1
-117.0,89.0,40416.79
-116.0,89.0,40415.48
-115.0,89.0,40414.18
-114.0,89.0,40412.88
-113.0,89.0,40411.58
-112.0,89.0,40410.28
-111.0,89.0,40408.99
-110.0,89.0,40407.7
-109.0,89.0,40406.42
-108.0,89.0,40405.14
-107.0,89.0,40403.86
-106.0,89.0,40402.59
-105.0,89.0,40401.33
-104.0,89.0,40400.07
-103.0,89.0,40398.82
-102.0,89.0,40397.57
-101.0,89.0,40396.33
-100.0,89.0,40395.1
-99.0,89.0,40393.87
-98.0,89.0,40392.66
-97.0,89.0,40391.45
-96.0,89.0,40390.25
-95.0,89.0,40389.05
-94.0,89.0,40387.87
-93.0,89.0,40386.7
-92.0,89.0,40385.53
-91.0,89.0,40384.38
-90.0,89.0,40383.24
-89.0,89.0,40382.1
-88.0,89.0,40380.98
-87.0,89.0,40379.87
-86.0,89.0,40378.77
-85.0,89.0,40377.68
-84.0,89.0,40376.61
-83.0,89.0,40375.55
-82.0,89.0,40374.5
-81.0,89.0,40373.46
-80.0,89.0,40372.44
-79.0,89.0,40371.43
-78.0,89.0,40370.44
-77.0,89.0,40369.46
-76.0,89.0,40368.5
-75.0,89.0,40367.55
-74.0,89.0,40366.62
-73.0,89.0,40365.7
-72.0,89.0,40364.8
-71.0,89.0,40363.91
-70.0,89.0,40363.04
-69.0,89.0,40362.19
-68.0,89.0,40361.36
-67.0,89.0,40360.55
-66.0,89.0,40359.75
-65.0,89.0,40358.97
-64.0,89.0,40358.21
-63.0,89.0,40357.47
-62.0,89.0,40356.75
-61.0,89.0,40356.04
-60.0,89.0,40355.36
-59.0,89.0,40354.7
-58.0,89.0,40354.06
-57.0,89.0,40353.43
-56.0,89.0,40352.83
-55.0,89.0,40352.25
-54.0,89.0,40351.69
-53.0,89.0,40351.16
-52.0,89.0,40350.64
-51.0,89.0,40350.15
-50.0,89.0,40349.68
-49.0,89.0,40349.23
-48.0,89.0,40348.81
-47.0,89.0,40348.4
-46.0,89.0,40348.02
-45.0,89.0,40347.67
-44.0,89.0,40347.34
-43.0,89.0,40347.03
-42.0,89.0,40346.74
-41.0,89.0,40346.48
-40.0,89.0,40346.25
-39.0,89.0,40346.04
-38.0,89.0,40345.85
-37.0,89.0,40345.69
-36.0,89.0,40345.55
-35.0,89.0,40345.44
-34.0,89.0,40345.35
-33.0,89.0,40345.29
-32.0,89.0,40345.26
-31.0,89.0,40345.25
-30.0,89.0,40345.26
-29.0,89.0,40345.3
-28.0,89.0,40345.37
-27.0,89.0,40345.46
-26.0,89.0,40345.58
-25.0,89.0,40345.72
-24.0,89.0,40345.89
-23.0,89.0,40346.09
-22.0,89.0,40346.31
-21.0,89.0,40346.56
-20.0,89.0,40346.83
-19.0,89.0,40347.13
-18.0,89.0,40347.46
-17.0,89.0,40347.81
-16.0,89.0,40348.19
-15.0,89.0,40348.59
-14.0,89.0,40349.02
-13.0,89.0,40349.48
-12.0,89.0,40349.96
-11.0,89.0,40350.46
-10.0,89.0,40350.99
-9.0,89.0,40351.55
-8.0,89.0,40352.13
-7.0,89.0,40352.74
-6.0,89.0,40353.37
-5.0,89.0,40354.03
-4.0,89.0,40354.71
-3.0,89.0,40355.41
-2.0,89.0,40356.14
-1.0,89.0,40356.9
0.0,89.0,40357.67
1.0,89.0,40358.48
2.0,89.0,40359.3
3.0,89.0,40360.15
4.0,89.0,40361.02
5.0,89.0,40361.91
6.0,89.0,40362.83
7.0,89.0,40363.76
8.0,89.0,40364.72
9.0,89.0,40365.7
10.0,89.0,40366.7
11.0,89.0,40367.73
12.0,89.0,40368.77
13.0,89.0,40369.83
14.0,89.0,40370.92
15.0,89.0,40372.02
16.0,89.0,40373.14
17.0,89.0,40374.28
18.0,89.0,40375.44
19.0,89.0,40376.62
20.0,89.0,40377.81
21.0,89.0,40379.02
22.0,89.0,40380.25
23.0,89.0,40381.5
24.0,89.0,40382.76
25.0,89.0,40384.03
26.0,89.0,40385.32
27.0,89.0,40386.63
28.0,89.0,40387.95
29.0,89.0,40389.28
30.0,89.0,40390.63
31.0,89.0,40391.99
32.0,89.0,40393.36
33.0,89.0,40394.74
34.0,89.0,40396.13
35.0,89.0,40397.54
36.0,89.0,40398.95
37.0,89.0,40400.38
38.0,89.0,40401.81
39.0,89.0,40403.26
40.0,89.0,40404.71
41.0,89.0,40406.17
42.0,89.0,40407.63
43.0,89.0,40409.1
44.0,89.0,40410.58
45.0,89.0,40412.06
46.0,89.0,40413.55
47.0,89.0,40415.05
48.0,89.0,40416.54
49.0,89.0,40418.04
50.0,89.0,40419.55
51.0,89.0,40421.05
52.0,89.0,40422.56
53.0,89.0,40424.07
54.0,89.0,40425.57
55.0,89.0,40427.08
56.0,89.0,40428.59
57.0,89.0,40430.1
58.0,89.0,40431.6
59.0,89.0,40433.11
60.0,89.0,40434.61
61.0,89.0,40436.1
62.0,89.0,40437.6
63.0,89.0,40439.09
64.0,89.0,40440.57
65.0,89.0,40442.05
66.0,89.0,40443.52
67.0,89.0,40444.99
68.0,89.0,40446.45
69.0,89.0,40447.9
70.0,89.0,40449.34
71.0,89.0,40450.78
72.0,89.0,40452.2
73.0,89.0,40453.62
74.0,89.0,40455.03
75.0,89.0,40456.42
76.0,89.0,40457.81
77.0,89.0,40459.18
78.0,89.0,40460.54
79.0,89.0,40461.89
80.0,89.0,40463.23
81.0,89.0,40464.55
82.0,89.0,40465.86
83.0,89.0,40467.15
84.0,89.0,40468.43
85.0,89.0,40469.69
86.0,89.0,40470.94
87.0,89.0,40472.18
88.0,89.0,40473.39
89.0,89.0,40474.59
90.0,89.0,40475.78
91.0,89.0,40476.94
92.0,89.0,40478.09
93.0,89.0,40479.22
94.0,89.0,40480.33
95.0,89.0,40481.42
96.0,89.0,40482.49
97.0,89.0,40483.55
98.0,89.0,40484.58
99.0,89.0,40485.59
100.0,89.0,40486.58
101.0,89.0,40487.55
102.0,89.0,40488.5
103.0,89.0,40489.43
104.0,89.0,40490.34
105.0,89.0,40491.22
106.0,89.0,40492.09
107.0,89.0,40492.93
108.0,89.0,40493.75
109.0,89.0,40494.54
110.0,89.0,40495.31
111.0,89.0,40496.06
112.0,89.0,40496.79
113.0,89.0,40497.49
114.0,89.0,40498.17
115.0,89.0,40498.83
116.0,89.0,40499.46
117.0,89.0,40500.06
118.0,89.0,40500.65
119.0,89.0,40501.2
120.0,89.0,40501.74
121.0,89.0,40502.25
122.0,89.0,40502.73
123.0,89.0,40503.19
124.0,89.0,40503.63
125.0,89.0,40504.04
126.0,89.0,40504.42
127.0,89.0,40504.78
128.0,89.0,40505.12
129.0,89.0,40505.43
130.0,89.0,40505.71
131.0,89.0,40505.97
132.0,89.0,40506.21
133.0,89.0,40506.42
134.0,89.0,40506.61
135.0,89.0,40506.77
136.0,89.0,40506.9
137.0,89.0,40507.01
138.0,89.0,40507.1
139.0,89.0,40507.16
140.0,89.0,40507.2
141.0,89.0,40507.21
142.0,89.0,40507.2
143.0,89.0,40507.16
144.0,89.0,40507.1
145.0,89.0,40507.02
146.0,89.0,40506.91
147.0,89.0,40506.78
148.0,89.0,40506.62
149.0,89.0,40506.44
150.0,89.0,40506.24
151.0,89.0,40506.01
152.0,89.0,40505.76
153.0,89.0,40505.49
154.0,89.0,40505.19
155.0,89.0,40504.88
156.0,89.0,40504.53
157.0,89.0,40504.17
158.0,89.0,40503.79
159.0,89.0,40503.38
160.0,89.0,40502.95
161.0,89.0,40502.5
162.0,89.0,40502.03
163.0,89.0,40501.53
164.0,89.0,40501.02
165.0,89.0,40500.49
166.0,89.0,40499.93
167.0,89.0,40499.35
168.0,89.0,40498.76
169.0,89.0,40498.14
170.0,89.0,40497.51
171.0,89.0,40496.86
172.0,89.0,40496.18
173.0,89.0,40495.49
174.0,89.0,40494.78
175.0,89.0,40494.05
176.0,89.0,40493.3
177.0,89.0,40492.54
178.0,89.0,40491.76
179.0,89.0,40490.96
180.0,89.0,40490.14
-180.0,88.0,40545.21
-179.0,88.0,40543.51
-178.0,88.0,40541.79
-177.0,88.0,40540.05
-176.0,88.0,40538.28
-175.0,88.0,40536.49
-174.0,88.0,40534.67
-173.0,88.0,40532.83
-172.0,88.0,40530.96
-171.0,88.0,40529.08
-170.0,88.0,40527.17
-169.0,88.0,40525.24
-168.0,88.0,40523.3
-167.0,88.0,40521.33
-166.0,88.0,40519.34
-165.0,88.0,40517.33
-164.0,88.0,40515.3
-163.0,88.0,40513.26
-162.0,88.0,40511.2
-161.0,88.0,40509.12
-160.0,88.0,40507.02
-159.0,88.0,40504.91
-158.0,88.0,40502.78
-157.0,88.0,40500.64
-156.0,88.0,40498.48
-155.0,88.0,40496.31
-154.0,88.0,40494.12
-153.0,88.0,40491.92
-152.0,88.0,40489.71
-151.0,88.0,40487.48
-150.0,88.0,40485.24
-149.0,88.0,40482.99
-148.0,88.0,40480.73
-147.0,88.0,40478.46
-146.0,88.0,40476.18
-145.0,88.0,40473.88
-144.0,88.0,40471.58
-143.0,88.0,40469.26
-142.0,88.0,40466.94
-141.0,88.0,40464.61
-140.0,88.0,40462.27
-139.0,88.0,40459.92
-138.0,88.0,40457.56
-137.0,88.0,40455.2
-136.0,88.0,40452.83
-135.0,88.0,40450.45
-134.0,88.0,40448.07
-133.0,88.0,40445.68
-132.0,88.0,40443.28
-131.0,88.0,40440.88
-130.0,88.0,40438.48
-129.0,88.0,40436.07
-128.0,88.0,40433.66
-127.0,88.0,40431.24
-126.0,88.0,40428.82
-125.0,88.0,40426.4
-124.0,88.0,40423.97
-123.0,88.0,40421.54
-122.0,88.0,40419.12
-121.0,88.0,40416.68
-120.0,88.0,40414.25
-119.0,88.0,40411.82
-118.0,88.0,40409.39
-117.0,88.0,40406.96
-116.0,88.0,40404.53
-115.0,88.0,40402.1
-114.0,88.0,40399.67
-113.0,88.0,40397.24
-112.0,88.0,40394.82
-111.0,88.0,40392.4
-110.0,88.0,40389.98
-109.0,88.0,40387.57
-108.0,88.0,40385.16
-107.0,88.0,40382.75
-106.0,88.0,40380.36
-105.0,88.0,40377.96
-104.0,88.0,40375.57
-103.0,88.0,40373.19
-102.0,88.0,40370.82
-101.0,88.0,40368.45
-100.0,88.0,40366.1
-99.0,88.0,40363.75
-98.0,88.0,40361.41
-97.0,88.0,40359.08
-96.0,88.0,40356.76
-95.0,88.0,40354.45
-94.0,88.0,40352.16
-93.0,88.0,40349.87
-92.0,88.0,40347.6
-91.0,88.0,40345.35
-90.0,88.0,40343.1
-89.0,88.0,40340.87
-88.0,88.0,40338.66
-87.0,88.0,40336.46
-86.0,88.0,40334.28
-85.0,88.0,40332.12
-84.0,88.0,40329.97
-83.0,88.0,40327.84
-82.0,88.0,40325.73
-81.0,88.0,40323.64
-80.0,88.0,40321.57
-79.0,88.0,40319.53
-78.0,88.0,40317.5
-77.0,88.0,40315.5
-76.0,88.0,40313.52
-75.0,88.0,40311.56
-74.0,88.0,40309.63
-73.0,88.0,40307.73
-72.0,88.0,40305.85
-71.0,88.0,40304.0
-70.0,88.0,40302.17
-69.0,88.0,40300.37
-68.0,88.0,40298.61
